city_id;city_detail_id
1;1
2;2
3;3
4;4
5;5
6;6
7;7
8;8
9;9
10;10
11;11
12;12
13;13
14;14
15;15
16;16
17;17
18;18
19;19
20;20
21;21
22;22
23;23
24;24
25;25
26;26
27;27
28;28
29;29
30;30
31;31
32;32
33;33
34;34
35;35
36;36
37;37
38;38
39;39
40;40
41;41
42;42
43;43
44;44
45;45
46;46
47;47
48;48
49;49
50;50
51;51
52;52
53;53
54;54
55;55
56;56
57;57
58;58
59;59
60;60
61;61
62;62
63;63
64;64
65;65
66;66
67;67
68;68
69;69
70;70
71;71
72;72
73;73
74;74
75;75
76;76
77;77
78;78
79;79
80;80
81;81
1;82
2;83
3;84
4;85
5;86
6;87
7;88
8;89
9;90
10;91
11;92
12;93
13;94
14;95
15;96
16;97
17;98
18;99
19;100
20;101
21;102
22;103
23;104
24;105
25;106
26;107
27;108
28;109
29;110
30;111
31;112
32;113
33;114
34;115
35;116
36;117
37;118
38;119
39;120
40;121
41;122
42;123
43;124
44;125
45;126
46;127
47;128
48;129
49;130
50;131
51;132
52;133
53;134
54;135
55;136
56;137
57;138
58;139
59;140
60;141
61;142
62;143
63;144
64;145
65;146
66;147
67;148
68;149
69;150
70;151
71;152
72;153
73;154
74;155
75;156
76;157
77;158
78;159
79;160
80;161
81;162
1;163
2;164
3;165
4;166
5;167
6;168
7;169
8;170
9;171
10;172
11;173
12;174
13;175
14;176
15;177
16;178
17;179
18;180
19;181
20;182
21;183
22;184
23;185
24;186
25;187
26;188
27;189
28;190
29;191
30;192
31;193
32;194
33;195
34;196
35;197
36;198
37;199
38;200
39;201
40;202
41;203
42;204
43;205
44;206
45;207
46;208
47;209
48;210
49;211
50;212
51;213
52;214
53;215
54;216
55;217
56;218
57;219
58;220
59;221
60;222
61;223
62;224
63;225
64;226
65;227
66;228
67;229
68;230
69;231
70;232
71;233
72;234
73;235
74;236
75;237
76;238
77;239
78;240
79;241
80;242
81;243
20;244
6;245
32;246
37;247
38;248
1;249
2;250
3;251
4;252
5;253
6;254
7;255
8;256
9;257
10;258
11;259
12;260
13;261
14;262
15;263
16;264
17;265
18;266
19;267
20;268
21;269
22;270
23;271
24;272
25;273
26;274
27;275
28;276
29;277
30;278
31;279
32;280
33;281
34;282
35;283
36;284
37;285
38;286
39;287
40;288
41;289
42;290
43;291
44;292
45;293
46;294
47;295
48;296
49;297
50;298
51;299
52;300
53;301
54;302
55;303
56;304
57;305
58;306
59;307
60;308
61;309
62;310
63;311
64;312
65;313
66;314
67;315
68;316
69;317
70;318
71;319
72;320
73;321
74;322
75;323
76;324
77;325
78;326
79;327
80;328
81;329
